PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount
2256310,2004-07-01T00:11:09Z,-40.42,0.0,174.07,0.0,76.0,6.0,ML,,,,2.8,0.3,6
2256341,2004-07-01T01:19:36Z,-40.5,0.0,173.36,0.0,169.0,2.0,ML,,,,3.4,0.4,10
2256389,2004-07-01T02:54:37Z,-39.62,0.0,175.19,0.0,78.0,2.0,ML,,,,2.3,0.2,3
2256393,2004-07-01T03:03:07Z,-38.83,0.0,175.23,0.0,5.0,0.0,ML,,,,2.3,0.2,7
2256412,2004-07-01T03:38:05Z,-42.06,0.0,173.15,0.0,22.0,2.0,ML,,,,2.6,0.2,5
2256470,2004-07-01T05:08:27Z,-45.3,0.0,167.22,0.2,86.0,16.0,ML,,,,2.5,0.2,4
2256475,2004-07-01T05:22:12Z,-38.49,0.0,175.85,0.0,149.0,3.0,ML,,,,3.8,0.3,15
2256480,2004-07-01T05:36:36Z,-41.59,0.0,171.96,0.0,5.0,0.0,ML,,,,2.9,0.3,9
2411126,2004-07-01T05:48:45Z,-40.31,0.0,176.49,0.0,32.0,2.0,ML,,,,2.0,0.0,3
2256487,2004-07-01T06:01:50Z,-44.56,0.0,170.1,0.0,5.0,0.0,ML,,,,2.9,0.1,5
2256489,2004-07-01T06:10:00Z,-42.0,0.0,171.99,0.0,5.0,0.0,ML,,,,1.6,0.2,4
2256506,2004-07-01T06:57:31Z,-42.49,0.0,173.59,0.0,14.0,2.0,ML,,,,2.6,0.3,7
2256526,2004-07-01T07:58:18Z,-37.36,0.0,176.74,0.0,199.0,3.0,ML,,,,4.1,0.1,10
2256533,2004-07-01T08:12:12Z,-37.61,0.0,178.36,0.0,48.0,1.0,ML,,,,2.7,0.3,4
2256534,2004-07-01T08:14:46Z,-38.73,0.0,177.81,0.0,5.0,0.0,ML,,,,2.5,0.1,4
2256543,2004-07-01T08:50:26Z,-38.34,0.0,177.77,0.0,53.0,0.0,ML,,,,2.2,0.2,3
2256547,2004-07-01T09:07:07Z,-41.17,0.0,173.61,0.0,84.0,2.0,ML,,,,2.4,0.2,3
2256548,2004-07-01T09:09:59Z,-45.55,0.0,166.71,0.0,12.0,0.0,ML,,,,2.6,0.2,5
2256567,2004-07-01T10:06:56Z,-41.01,0.0,172.84,0.0,180.0,2.0,ML,,,,3.3,0.2,10
2256574,2004-07-01T10:31:02Z,-39.73,0.0,174.0,0.1,192.0,8.0,ML,,,,3.1,0.4,2
2256593,2004-07-01T11:50:41Z,-38.44,0.0,178.04,0.0,32.0,3.0,ML,,,,2.3,0.2,3
2256606,2004-07-01T12:31:51Z,-44.95,0.0,169.14,0.0,10.0,1.0,ML,,,,2.2,0.2,6
2256614,2004-07-01T12:52:12Z,-44.18,0.0,168.4,0.0,12.0,0.0,ML,,,,2.3,0.2,5
2256627,2004-07-01T13:41:51Z,-38.3,0.1,176.35,0.2,137.0,13.0,ML,,,,2.9,0.2,5
2256628,2004-07-01T13:46:07Z,-45.06,0.0,167.68,0.0,75.0,4.0,ML,,,,2.3,0.1,3
2256645,2004-07-01T15:02:15Z,-39.45,0.0,175.46,0.0,15.0,3.0,ML,,,,1.8,0.2,11
2256651,2004-07-01T15:32:30Z,-40.64,0.0,175.5,0.0,24.0,1.0,ML,,,,2.2,0.3,7
2256656,2004-07-01T15:49:14Z,-44.41,0.0,171.17,0.0,12.0,0.0,ML,,,,2.8,0.3,8
2256657,2004-07-01T15:53:42Z,-37.27,0.0,177.65,0.0,5.0,0.0,ML,,,,2.8,0.2,6
2256662,2004-07-01T16:08:08Z,-41.73,0.0,172.3,0.0,96.0,3.0,ML,,,,2.3,0.5,2
2256676,2004-07-01T17:09:01Z,-39.84,0.0,177.03,0.0,43.0,4.0,ML,,,,2.7,0.2,3
2256685,2004-07-01T17:50:11Z,-38.89,0.0,175.31,0.1,216.0,3.0,ML,,,,3.1,0.3,8
2256687,2004-07-01T17:52:33Z,-42.11,0.0,172.24,0.0,5.0,0.0,ML,,,,1.8,0.1,3
2256694,2004-07-01T18:19:39Z,-44.99,0.0,167.43,0.1,55.0,4.0,ML,,,,1.9,0.2,3
2256714,2004-07-01T19:46:57Z,-39.51,0.0,175.59,0.0,69.0,2.0,ML,,,,2.5,0.2,5
2256718,2004-07-01T19:58:01Z,-43.0,0.0,171.48,0.0,5.0,0.0,ML,,,,2.6,0.1,7
2256738,2004-07-01T21:08:16Z,-41.08,0.0,174.87,0.0,26.0,1.0,ML,,,,2.4,0.1,8
2256744,2004-07-01T21:20:29Z,-42.51,0.0,172.55,0.0,5.0,0.0,ML,,,,2.9,0.2,8
2414691,2004-07-01T21:21:03Z,-41.48,0.0,175.55,0.0,23.0,3.0,ML,,,,2.3,0.2,4
2256750,2004-07-01T21:32:15Z,-45.23,0.0,166.91,0.0,12.0,0.0,ML,,,,3.8,0.2,7
2256754,2004-07-01T21:43:22Z,-39.53,0.0,175.66,0.0,12.0,3.0,ML,,,,2.0,0.2,6
2257253,2004-07-01T21:43:40Z,-42.5,0.0,172.5,0.0,15.0,4.0,ML,,,,2.8,0.2,7
2256759,2004-07-01T21:57:56Z,-40.42,0.0,176.29,0.0,26.0,3.0,ML,,,,2.2,0.3,3
2256800,2004-07-01T23:31:30Z,-39.21,0.0,176.85,0.0,31.0,1.0,ML,,,,2.7,0.3,10
2256818,2004-07-02T00:05:44Z,-39.36,0.0,173.81,0.0,17.0,1.0,ML,,,,3.8,0.3,21
2256831,2004-07-02T00:35:51Z,-37.78,0.0,179.24,0.0,33.0,0.0,ML,,,,2.9,0.1,4
2256843,2004-07-02T01:03:06Z,-39.06,0.0,174.96,0.0,29.0,2.0,ML,,,,2.0,0.1,5
2256848,2004-07-02T01:12:42Z,-46.01,0.0,166.81,0.0,65.0,2.0,ML,,,,3.4,0.2,7
2256877,2004-07-02T02:15:10Z,-40.68,0.1,175.74,0.0,23.0,4.0,ML,,,,2.2,0.2,2
2256899,2004-07-02T02:58:27Z,-39.61,0.0,175.57,0.0,16.0,14.0,ML,,,,2.1,0.1,5
2256905,2004-07-02T03:22:02Z,-40.02,0.0,176.68,0.0,33.0,0.0,ML,,,,2.2,0.1,4
2256913,2004-07-02T03:41:20Z,-39.8,0.0,175.36,0.0,61.0,2.0,ML,,,,2.2,0.1,2
2409814,2004-07-02T03:43:27Z,-45.24,0.0,166.95,0.0,20.0,0.0,ML,,,,3.1,0.3,9
2256935,2004-07-02T04:20:56Z,-41.72,0.0,172.23,0.0,99.0,2.0,ML,,,,2.6,0.1,3
2256974,2004-07-02T05:48:19Z,-45.3,0.0,167.04,0.0,20.0,0.0,ML,,,,2.5,0.1,4
2256976,2004-07-02T05:55:47Z,-39.1,0.0,175.64,0.0,5.0,0.0,ML,,,,1.5,0.2,5
2256981,2004-07-02T06:07:18Z,-39.27,0.1,175.53,0.0,89.0,3.0,ML,,,,2.5,nan,1
2257011,2004-07-02T07:18:40Z,-41.07,0.0,175.06,0.0,29.0,1.0,ML,,,,2.2,0.3,7
2257013,2004-07-02T07:27:32Z,-39.36,0.0,175.44,0.1,24.0,4.0,ML,,,,1.4,0.1,4
2257036,2004-07-02T08:31:39Z,-45.15,0.0,166.94,0.0,12.0,0.0,ML,,,,2.5,0.1,6
2257039,2004-07-02T08:37:42Z,-44.71,0.0,168.03,0.0,75.0,2.0,ML,,,,2.4,0.1,7
2257043,2004-07-02T08:51:49Z,-39.46,0.0,175.43,0.0,5.0,0.0,ML,,,,1.8,0.2,9
